date,major_political_event,fifa_event,major_event
2000-01-24,1,0,1
2000-01-31,1,0,1
2000-02-01,1,0,1
2000-02-02,1,0,1
2000-03-06,1,0,1
2000-03-07,1,0,1
2000-03-08,1,0,1
2000-11-05,1,0,1
2000-11-06,1,0,1
2000-11-07,1,0,1
2000-11-08,1,0,1
2000-11-09,1,0,1
2001-01-20,1,0,1
2001-11-04,1,0,1
2001-11-05,1,0,1
2001-11-06,1,0,1
2001-11-07,1,0,1
2001-11-08,1,0,1
2002-06-25,0,1,1
2002-06-26,0,1,1
2002-06-30,0,1,1
2002-11-03,1,0,1
2002-11-04,1,0,1
2002-11-05,1,0,1
2002-11-06,1,0,1
2002-11-07,1,0,1
2003-11-02,1,0,1
2003-11-03,1,0,1
2003-11-04,1,0,1
2003-11-05,1,0,1
2003-11-06,1,0,1
2004-01-19,1,0,1
2004-01-26,1,0,1
2004-01-27,1,0,1
2004-01-28,1,0,1
2004-03-01,1,0,1
2004-03-02,1,0,1
2004-03-03,1,0,1
2004-10-31,1,0,1
2004-11-01,1,0,1
2004-11-02,1,0,1
2004-11-03,1,0,1
2004-11-04,1,0,1
2005-01-20,1,0,1
2005-11-06,1,0,1
2005-11-07,1,0,1
2005-11-08,1,0,1
2005-11-09,1,0,1
2005-11-10,1,0,1
2006-07-04,0,1,1
2006-07-05,0,1,1
2006-07-09,0,1,1
2006-11-05,1,0,1
2006-11-06,1,0,1
2006-11-07,1,0,1
2006-11-08,1,0,1
2006-11-09,1,0,1
2007-11-04,1,0,1
2007-11-05,1,0,1
2007-11-06,1,0,1
2007-11-07,1,0,1
2007-11-08,1,0,1
2008-01-03,1,0,1
2008-01-21,1,0,1
2008-01-22,1,0,1
2008-01-23,1,0,1
2008-02-04,1,0,1
2008-02-05,1,0,1
2008-02-06,1,0,1
2008-11-02,1,0,1
2008-11-03,1,0,1
2008-11-04,1,0,1
2008-11-05,1,0,1
2008-11-06,1,0,1
2009-01-20,1,0,1
2009-11-01,1,0,1
2009-11-02,1,0,1
2009-11-03,1,0,1
2009-11-04,1,0,1
2009-11-05,1,0,1
2010-07-06,0,1,1
2010-07-07,0,1,1
2010-07-11,0,1,1
2010-10-31,1,0,1
2010-11-01,1,0,1
2010-11-02,1,0,1
2010-11-03,1,0,1
2010-11-04,1,0,1
2011-11-06,1,0,1
2011-11-07,1,0,1
2011-11-08,1,0,1
2011-11-09,1,0,1
2011-11-10,1,0,1
2012-01-03,1,0,1
2012-01-09,1,0,1
2012-01-10,1,0,1
2012-01-11,1,0,1
2012-03-05,1,0,1
2012-03-06,1,0,1
2012-03-07,1,0,1
2012-11-04,1,0,1
2012-11-05,1,0,1
2012-11-06,1,0,1
2012-11-07,1,0,1
2012-11-08,1,0,1
2013-01-20,1,0,1
2013-11-03,1,0,1
2013-11-04,1,0,1
2013-11-05,1,0,1
2013-11-06,1,0,1
2013-11-07,1,0,1
2014-07-08,0,1,1
2014-07-09,0,1,1
2014-07-13,0,1,1
2014-11-02,1,0,1
2014-11-03,1,0,1
2014-11-04,1,0,1
2014-11-05,1,0,1
2014-11-06,1,0,1
2015-11-01,1,0,1
2015-11-02,1,0,1
2015-11-03,1,0,1
2015-11-04,1,0,1
2015-11-05,1,0,1
2016-02-01,1,0,1
2016-02-08,1,0,1
2016-02-09,1,0,1
2016-02-10,1,0,1
2016-02-29,1,0,1
2016-03-01,1,0,1
2016-03-02,1,0,1
2016-11-06,1,0,1
2016-11-07,1,0,1
2016-11-08,1,0,1
2016-11-09,1,0,1
2016-11-10,1,0,1
2017-01-20,1,0,1
2017-11-05,1,0,1
2017-11-06,1,0,1
2017-11-07,1,0,1
2017-11-08,1,0,1
2017-11-09,1,0,1
2018-07-10,0,1,1
2018-07-11,0,1,1
2018-07-15,0,1,1
2018-11-04,1,0,1
2018-11-05,1,0,1
2018-11-06,1,0,1
2018-11-07,1,0,1
2018-11-08,1,0,1
2019-11-03,1,0,1
2019-11-04,1,0,1
2019-11-05,1,0,1
2019-11-06,1,0,1
2019-11-07,1,0,1
