match_date,tournament_name,stage_name,match_name
2002-06-25,2002 FIFA Men's World Cup,semi-finals,Germany vs South Korea
2002-06-26,2002 FIFA Men's World Cup,semi-finals,Brazil vs Turkey
2002-06-30,2002 FIFA Men's World Cup,final,Germany vs Brazil
2006-07-04,2006 FIFA Men's World Cup,semi-finals,Germany vs Italy
2006-07-05,2006 FIFA Men's World Cup,semi-finals,Portugal vs France
2006-07-09,2006 FIFA Men's World Cup,final,Italy vs France
2010-07-06,2010 FIFA Men's World Cup,semi-finals,Uruguay vs Netherlands
2010-07-07,2010 FIFA Men's World Cup,semi-finals,Germany vs Spain
2010-07-11,2010 FIFA Men's World Cup,final,Netherlands vs Spain
2014-07-08,2014 FIFA Men's World Cup,semi-finals,Brazil vs Germany
2014-07-09,2014 FIFA Men's World Cup,semi-finals,Netherlands vs Argentina
2014-07-13,2014 FIFA Men's World Cup,final,Germany vs Argentina
2018-07-10,2018 FIFA Men's World Cup,semi-finals,France vs Belgium
2018-07-11,2018 FIFA Men's World Cup,semi-finals,Croatia vs England
2018-07-15,2018 FIFA Men's World Cup,final,France vs Croatia
